Bundesland;Altersgruppen;Geschlecht;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
          Berlin;        50 bis unter 55 Jahre;Männlich;0;0;0;0;0;2;3;3;3;10;5;9;13;8;14;4;3;10;10;6
          Berlin;        50 bis unter 55 Jahre;        Weiblich;0;1;1;0;0;2;3;10;3;1;2;4;1;7;4;11;3;1;0;1
          Berlin;        50 bis unter 55 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        55 bis unter 60 Jahre;Alle Geschlechter;0;0;1;0;0;0;3;3;3;5;5;7;8;14;19;5;10;6;14;13
          Berlin;        55 bis unter 60 Jahre;Männlich;0;0;0;0;0;0;0;0;0;2;3;4;2;9;9;4;6;3;10;11
          Berlin;        55 bis unter 60 Jahre;        Weiblich;0;0;1;0;0;0;3;3;3;3;2;3;6;5;10;1;4;3;4;2
          Berlin;        55 bis unter 60 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        60 bis unter 65 Jahre;Alle Geschlechter;0;2;1;1;2;0;1;1;4;5;1;2;1;2;4;2;0;3;4;3
          Berlin;        60 bis unter 65 Jahre;Männlich;0;2;1;0;1;0;0;0;0;0;0;0;1;1;2;2;0;3;2;3
          Berlin;        60 bis unter 65 Jahre;        Weiblich;0;0;0;1;1;0;1;1;4;5;1;2;0;1;2;0;0;0;2;0
          Berlin;        60 bis unter 65 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        65 bis unter 70 Jahre;Alle Geschlechter;0;0;0;0;0;3;2;0;0;0;1;0;0;0;3;0;0;2;0;0
          Berlin;        65 bis unter 70 Jahre;Männlich;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0
          Berlin;        65 bis unter 70 Jahre;        Weiblich;0;0;0;0;0;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0
          Berlin;        65 bis unter 70 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        70 bis unter 75 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
          Berlin;        70 bis unter 75 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        70 bis unter 75 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
          Berlin;        70 bis unter 75 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        75 bis unter 80 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        75 bis unter 80 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        75 bis unter 80 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        75 bis unter 80 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        80 bis unter 85 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        80 bis unter 85 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        80 bis unter 85 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        80 bis unter 85 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        85 bis unter 90 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        85 bis unter 90 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        85 bis unter 90 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        85 bis unter 90 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        90 bis unter 95 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        90 bis unter 95 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        90 bis unter 95 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        90 bis unter 95 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        95 Jahre und älter;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        95 Jahre und älter;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        95 Jahre und älter;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        95 Jahre und älter;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        Unbekannt;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        Unbekannt;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        Unbekannt;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Berlin;        Unbekannt;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;Alle Altersgruppen;Alle Geschlechter;0;0;0;0;0;0;0;2;0;1;1;2;0;0;0;0;0;0;0;0
          Brandenburg;Alle Altersgruppen;Männlich;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
          Brandenburg;Alle Altersgruppen;        Weiblich;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0
          Brandenburg;Alle Altersgruppen;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        Unter 1 Jahr;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        Unter 1 Jahr;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        Unter 1 Jahr;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        Unter 1 Jahr;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        1 Jahr bis unter 5 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        1 Jahr bis unter 5 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        1 Jahr bis unter 5 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        1 Jahr bis unter 5 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        5 bis unter 10 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        5 bis unter 10 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        5 bis unter 10 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        5 bis unter 10 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        10 bis unter 15 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        10 bis unter 15 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        10 bis unter 15 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        10 bis unter 15 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        15 bis unter 20 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        15 bis unter 20 Jahre;Männlich;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        15 bis unter 20 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        15 bis unter 20 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        20 bis unter 25 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        20 bis unter 25 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        20 bis unter 25 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        20 bis unter 25 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        25 bis unter 30 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        25 bis unter 30 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        25 bis unter 30 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        25 bis unter 30 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        30 bis unter 35 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
          Brandenburg;        30 bis unter 35 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
          Brandenburg;        30 bis unter 35 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        30 bis unter 35 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        35 bis unter 40 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        35 bis unter 40 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        35 bis unter 40 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        35 bis unter 40 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        40 bis unter 45 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
          Brandenburg;        40 bis unter 45 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        40 bis unter 45 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
          Brandenburg;        40 bis unter 45 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        45 bis unter 50 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
          Brandenburg;        45 bis unter 50 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        45 bis unter 50 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
          Brandenburg;        45 bis unter 50 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        50 bis unter 55 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        50 bis unter 55 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        50 bis unter 55 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        50 bis unter 55 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        55 bis unter 60 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        55 bis unter 60 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        55 bis unter 60 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        55 bis unter 60 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        60 bis unter 65 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        60 bis unter 65 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        60 bis unter 65 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        60 bis unter 65 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        65 bis unter 70 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        65 bis unter 70 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        65 bis unter 70 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        65 bis unter 70 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        70 bis unter 75 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        70 bis unter 75 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        70 bis unter 75 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        70 bis unter 75 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        75 bis unter 80 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        75 bis unter 80 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        75 bis unter 80 Jahre;        Weiblich;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        75 bis unter 80 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        80 bis unter 85 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        80 bis unter 85 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        80 bis unter 85 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        80 bis unter 85 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        85 bis unter 90 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        85 bis unter 90 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        85 bis unter 90 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        85 bis unter 90 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        90 bis unter 95 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        90 bis unter 95 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        90 bis unter 95 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        90 bis unter 95 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        95 Jahre und älter;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        95 Jahre und älter;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        95 Jahre und älter;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        95 Jahre und älter;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        Unbekannt;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        Unbekannt;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        Unbekannt;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Brandenburg;        Unbekannt;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;Alle Altersgruppen;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
          Bremen;Alle Altersgruppen;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
          Bremen;Alle Altersgruppen;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;Alle Altersgruppen;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        Unter 1 Jahr;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        Unter 1 Jahr;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        Unter 1 Jahr;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        Unter 1 Jahr;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        1 Jahr bis unter 5 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        1 Jahr bis unter 5 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        1 Jahr bis unter 5 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        1 Jahr bis unter 5 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        5 bis unter 10 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        5 bis unter 10 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        5 bis unter 10 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        5 bis unter 10 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        10 bis unter 15 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        10 bis unter 15 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        10 bis unter 15 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        10 bis unter 15 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        15 bis unter 20 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        15 bis unter 20 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        15 bis unter 20 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        15 bis unter 20 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        20 bis unter 25 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        20 bis unter 25 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        20 bis unter 25 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        20 bis unter 25 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        25 bis unter 30 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
          Bremen;        25 bis unter 30 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
          Bremen;        25 bis unter 30 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        25 bis unter 30 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        30 bis unter 35 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        30 bis unter 35 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        30 bis unter 35 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        30 bis unter 35 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        35 bis unter 40 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        35 bis unter 40 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        35 bis unter 40 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        35 bis unter 40 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        40 bis unter 45 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        40 bis unter 45 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        40 bis unter 45 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        40 bis unter 45 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        45 bis unter 50 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        45 bis unter 50 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        45 bis unter 50 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        45 bis unter 50 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        50 bis unter 55 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        50 bis unter 55 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        50 bis unter 55 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        50 bis unter 55 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        55 bis unter 60 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        55 bis unter 60 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        55 bis unter 60 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        55 bis unter 60 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        60 bis unter 65 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        60 bis unter 65 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        60 bis unter 65 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        60 bis unter 65 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        65 bis unter 70 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        65 bis unter 70 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        65 bis unter 70 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        65 bis unter 70 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        70 bis unter 75 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        70 bis unter 75 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Bremen;        70 bis unter 75 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
